functional,omega,scale_s,scenario,delta,h,loss_h1,loss_with_h,dLoss,N,D,Q
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__pubmed_abstracts_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_nih_exporter_up__uspto_backgrounds_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_pubmed_central_up__arxiv_down,1.1723991506222478,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_pubmed_central_up__freelaw_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_pubmed_central_up__wikipedia_en_down,-0.3665275332404914,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_pubmed_central_up__github_down,-1.3100321785747664,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_pubmed_central_up__stackexchange_down,1.6010790154595766,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_pubmed_central_up__pile_cc_down,-0.428324036140665,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_pubmed_central_up__pubmed_abstracts_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_pubmed_central_up__uspto_backgrounds_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_wikipedia_en_up__arxiv_down,1.402650663907897,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_wikipedia_en_up__freelaw_down,0.3068942562405904,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_wikipedia_en_up__pubmed_central_down,0.3068942562405904,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_wikipedia_en_up__github_down,-0.8599548185469831,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_wikipedia_en_up__stackexchange_down,1.7933697951850143,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_wikipedia_en_up__pile_cc_down,-0.056324259452400376,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_wikipedia_en_up__pubmed_abstracts_down,0.3068942562405904,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_wikipedia_en_up__uspto_backgrounds_down,0.3068942562405904,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__arxiv_down,1.1723991506222478,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__freelaw_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__pubmed_central_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__wikipedia_en_down,-0.3665275332404914,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__github_down,-1.3100321785747664,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__stackexchange_down,1.6010790154595766,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__pile_cc_down,-0.428324036140665,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__pubmed_abstracts_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_dm_mathematics_up__uspto_backgrounds_down,0.0,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_github_up__arxiv_down,2.262605482454919,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_github_up__freelaw_down,1.0968926332503828,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_github_up__pubmed_central_down,1.0968926332503828,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_github_up__wikipedia_en_down,0.859954818546996,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_github_up__stackexchange_down,2.65332461373201,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
quality_linear,0.0,0.0042798423176393504,shift_github_up__pile_cc_down,0.8036305590945956,1.0,2.3489103009426024,2.3489103009426024,0.0,1.0,150.0,1.0
