logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
22,1e+22,指数型,8192,5.15303e+09,2.31512e+11,1,2.16275,0.0222582,44.9274,False,0.715792,0.195459,0.0887485
22.1,1.25893e+22,指数型,8192,5.66442e+09,2.67285e+11,1,2.14568,0.0211925,47.1865,False,0.721574,0.197038,0.0813882
22.2,1.58489e+22,指数型,8192,6.23103e+09,3.08174e+11,1,2.12928,0.0202192,49.4579,False,0.726954,0.198507,0.074539
22.3,1.99526e+22,指数型,8192,6.85895e+09,3.54872e+11,1,2.11352,0.0193279,51.7386,False,0.731949,0.199871,0.0681804
22.4,2.51189e+22,指数型,8192,7.55493e+09,4.08164e+11,1,2.09837,0.0185095,54.0262,False,0.736575,0.201134,0.0622907
22.5,3.16228e+22,指数型,8192,8.32649e+09,4.6894e+11,1,2.08379,0.017756,56.3191,False,0.740851,0.202302,0.0568467
22.6,3.98107e+22,指数型,8192,9.18195e+09,5.38209e+11,1,2.06977,0.0170602,58.616,False,0.744796,0.203379,0.0518249
22.7,5.01187e+22,指数型,8192,1.01305e+10,6.17115e+11,1,2.05628,0.016416,60.9162,False,0.748428,0.204371,0.0472013
22.8,6.30957e+22,指数型,8192,1.11825e+10,7.06955e+11,1,2.04329,0.0158179,63.2196,False,0.751766,0.205282,0.0429516
22.9,7.94328e+22,指数型,8192,1.23492e+10,8.09202e+11,1,2.03079,0.015261,65.5264,False,0.754829,0.206119,0.0390521
23,1e+23,指数型,8192,1.36433e+10,9.25526e+11,1,2.01875,0.0147412,67.8373,False,0.757636,0.206885,0.0354794
23.1,1.25893e+23,指数型,8192,1.50788e+10,1.05782e+12,1,2.00715,0.0142545,70.1532,False,0.760203,0.207586,0.0322107
23.2,1.58489e+23,指数型,8192,1.66711e+10,1.20824e+12,1,1.99598,0.0137978,72.4754,False,0.762549,0.208227,0.0292241
