C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+19,8192,power,mixture,0.0,0.0,0.6496499613938732,0.17739774945795364,0.17295228914817307,0.0,0.9999999999999999,0.2730666666666667,0.0,True,True,True,True,True
1e+19,32768,power,fixed_ref,0.0,0.0,0.38968658572966797,0.42564166803965864,0.18467174623067345,0.0,1.0,1.0922666666666665,2.220446049250313e-16,True,True,True,True,True
1e+19,32768,power,mixture,0.0,0.0,0.3915730598546866,0.4277022008439457,0.18072473930136768,0.0,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+19,131072,power,fixed_ref,0.0,0.0,0.15048618172241918,0.6574841603573643,0.19202965792021667,-2.048e-16,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+19,131072,power,mixture,0.0,0.0,0.15088256813683015,0.6592159990276867,0.1899014328354833,-2.048e-16,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+19,2048,logarithmic,fixed_ref,0.0,0.0,0.7430292942495296,0.05072413315410122,0.20624657259636925,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,logarithmic,mixture,0.0,0.0,0.749846415910011,0.051189515326123425,0.19896406876386538,2.048e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,4096,logarithmic,fixed_ref,0.0,0.0,0.7023364044418057,0.09589233041978788,0.2017712651384064,0.0,0.9999999999999999,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+19,4096,logarithmic,mixture,0.0,0.0,0.7086729698559959,0.09675748281767198,0.1945695473263322,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,8192,logarithmic,fixed_ref,0.0,0.0,0.6332837771906932,0.1729286900915386,0.19378753271776822,0.0,1.0,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
1e+19,8192,logarithmic,mixture,0.0,0.0,0.638857208809038,0.17445060848545466,0.18669218270550744,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+19,32768,logarithmic,fixed_ref,0.0,0.0,0.4010768119304548,0.43808283244457147,0.16084035562497387,-2.048e-16,0.9999999999999998,1.0922666666666667,0.0,True,True,True,True,True
1e+19,32768,logarithmic,mixture,0.0,0.0,0.40406350915678707,0.44134510226831997,0.15459138857489318,-2.048e-16,1.0,1.0922666666666667,0.0,True,True,True,True,True
1e+19,131072,logarithmic,fixed_ref,0.0,0.0,0.16591451042935226,0.724891557033202,0.10919393253744589,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+19,131072,logarithmic,mixture,0.0,0.0,0.16680269347908105,0.7287720879896704,0.10442521853124877,-2.048e-16,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+22,2048,exponential,fixed_ref,0.0,0.0,0.9024634176997668,0.06160816931497075,0.03592841298526237,0.0,0.9999999999999999,0.06826666666666667,0.0,True,True,True,True,True
1e+22,2048,exponential,mixture,0.0,0.0,0.9026035542114259,0.06161773596750001,0.035778709821074055,0.0,0.9999999999999999,0.06826666666666667,0.0,True,True,True,True,True
1e+22,4096,exponential,fixed_ref,0.0,0.0,0.8492311866774217,0.11594836468769064,0.03482044863488767,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+22,4096,exponential,mixture,0.0,0.0,0.8493589899219658,0.11596581409067906,0.0346751959873552,-2.097152e-16,0.9999999999999998,0.13653333333333334,0.0,True,True,True,True,True
1e+22,8192,exponential,fixed_ref,0.0,0.0,0.7596973979602512,0.20744803613634596,0.03285456590340291,0.0,1.0,0.27306666666666674,5.551115123125783e-17,True,True,True,True,True
1e+22,8192,exponential,mixture,0.0,0.0,0.7598052713348064,0.2074774927591578,0.03271723590603583,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,32768,exponential,fixed_ref,0.0,1.1734434542558709e-16,0.4657924992435044,0.5087696205070384,0.025437880249457288,0.0,1.0000000000000002,1.0922666666666667,0.0,True,True,True,True,True
1e+22,32768,exponential,mixture,0.0,0.0,0.4658437071924173,0.5088255532427043,0.025330739564878562,-2.097152e-16,1.0,1.0922666666666665,2.220446049250313e-16,True,True,True,True,True
1e+22,131072,exponential,fixed_ref,0.0,0.0,0.18336358633306593,0.8011277329282538,0.015508680738680431,-2.097152e-16,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+22,131072,exponential,mixture,0.0,0.0,0.1833758758068056,0.8011814264583207,0.01544269773487381,-2.097152e-16,0.9999999999999998,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+22,2048,power,fixed_ref,0.0,0.0,0.8951327429484551,0.0611077285852812,0.04375952846626359,0.0,1.0,0.06826666666666666,1.3877787807814457e-17,True,True,True,True,True
1e+22,2048,power,mixture,0.0,0.0,0.8954063694252775,0.06112640815276561,0.04346722242195679,2.097152e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,4096,power,fixed_ref,0.0,1.7443169935211428e-16,0.8425439697664121,0.11503533667210747,0.04242069356148036,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+22,4096,power,mixture,0.0,1.7438002578029861e-16,0.842793638592499,0.11506942478916256,0.04213693661833848,0.0,1.0,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+22,8192,power,fixed_ref,0.0,0.0,0.7540281834367488,0.2058999626237949,0.040071853939456434,-2.097152e-16,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+22,8192,power,mixture,0.0,0.0,0.754224497048593,0.20595356932740244,0.03982193362400456,0.0,0.9999999999999999,0.2730666666666667,0.0,True,True,True,True,True
1e+22,32768,power,fixed_ref,0.0,1.1884827677920158e-16,0.4630719073677806,0.5057980086875812,0.031130083944638336,-2.097152e-16,0.9999999999999998,1.0922666666666667,0.0,True,True,True,True,True
1e+22,32768,power,mixture,0.0,1.1882243999329378e-16,0.4631725978579882,0.5059079895536853,0.030919412588326662,-2.097152e-16,1.0,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+22,131072,power,fixed_ref,0.0,0.0,0.18270060090485782,0.7982311053933842,0.019068293701758006,2.097152e-16,1.0000000000000002,4.369066666666667,0.0,True,True,True,True,True
1e+22,131072,power,mixture,0.0,0.0,0.18272493274468368,0.7983374128237061,0.018937654431610235,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+22,2048,logarithmic,fixed_ref,0.0,0.0,0.9224713528233385,0.06297404435273991,0.014554602823921634,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+22,2048,logarithmic,mixture,0.0,0.0,0.9231892108646182,0.06302305012835796,0.013787739007023786,0.0,1.0,0.06826666666666668,1.3877787807814457e-17,True,True,True,True,True
1e+22,4096,logarithmic,fixed_ref,0.0,0.0,0.8674778723452768,0.11843964550420848,0.014082482150514518,0.0,0.9999999999999999,0.13653333333333334,0.0,True,True,True,True,True
1e+22,4096,logarithmic,mixture,0.0,0.0,0.8681310209076226,0.11852882205458741,0.013340157037790026,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+22,8192,logarithmic,fixed_ref,0.0,0.0,0.775090233893694,0.21165130653523806,0.0132584595710678,0.0,0.9999999999999999,0.2730666666666667,0.0,True,True,True,True,True
1e+22,8192,logarithmic,mixture,0.0,0.0,0.7756444328987686,0.21180263981022376,0.012552927291007782,-2.097152e-16,1.0,0.2730666666666667,0.0,True,True,True,True,True
